scientificName,spp_name_corrected,Article_simple,study_id,Study_location,Study_lat,Study_long,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality,evidence_type,exclude_species,Mass_g_final,Order_final,source,class
Macrotis lagotis,Macrotis lagotis,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",143,,-19.2,132.666666666666,Population,Abundance,Temporal,0,yes,no,Population not in support,included_species,1350,Peramelemorphia,Phylacine 1.2,Mammals
Macrotis lagotis,Macrotis lagotis,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",144,,-19.2,132.666666666666,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1350,Peramelemorphia,Phylacine 1.2,Mammals
Macrotis lagotis,Macrotis lagotis,"Richards, J.D., 2012. Western Barred Bandicoot, Burrowing Bettong and Banded Hare-wallaby Recovery Team, Department of Environment and Conservation (Western Australia), and the Australian Government Department of Sustainability, Environment, Water, Population and Communities.",145,,-25.44,113.32,Population,Abundance,Exclusion,0,no,no,Population not in support,included_species,1350,Peramelemorphia,Phylacine 1.2,Mammals
Macrotis lagotis,Macrotis lagotis,"Southgate, R., Paltridge, R., Masters, P. and Carthew, S., 2007. Bilby distribution and fire: a test of alternative models of habitat suitability in the Tanami Desert, Australia. Ecography, 30(6), pp.759-776.",136,"Tanami Desert, Northern Territory",-20,130,Population,Abundance,Spatial,0,yes,yes,Population not in support,included_species,1350,Peramelemorphia,Phylacine 1.2,Mammals
Macrotis lagotis,Macrotis lagotis,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",139,Central Australia,-23.698,133.88069999999999,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1350,Peramelemorphia,Phylacine 1.2,Mammals
Macrotis lagotis,Macrotis lagotis,"Wysong, M.L., 2016. Predator ecology in the arid rangelands of Western Australia: spatial interactions and resource competition between an apex predator, the dingo Canis dingo, and an introduced mesopredator, the feral cat Felis catus. PhD thesis, University of Western Australia, Perth.",135,"Matuwa, Western Australia",−26.1986,121.35980000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1350,Peramelemorphia,Phylacine 1.2,Mammals
Macrotis leucura,Macrotis leucura,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",147,Koonchera Dune and Alice Springs,-23.698,133.88069999999999,Population,Abundance,Timing,1,yes,no,Population in support,included_species,354.3,Peramelemorphia,Phylacine 1.2,Mammals
Marmorosphax taom,Marmorosphax taom,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",258,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Mastacomys fuscus,Mastacomys fuscus,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",181,Australia,-25.2744,133.77510000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,122,Rodentia,Phylacine 1.2,Mammals
Megadyptes antipodes,Megadyptes antipodes,"Alterio, N. and Moller, H., 1997. Diet of feral house cats Felis catus, ferrets Mustela furo and stoats M. erminea in grassland surrounding yellow‐eyed penguin Megadyptes antipodes breeding areas, South Island, New Zealand. Journal of Zoology, 243(4), pp.869-877.",461,South Island,-45.152700000000003,169.89259999999999,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,5326.24,Sphenisciformes,Avonet,Birds
