"","scientificName","spp_name_corrected","assessmentId","internalTaxonId","realm","systems","assessmentDate","redlistCategory","criteriaVersion","populationTrend","Synonyms_or_previous_lump","Cat_effect","EXCLUDE_cats_not_attributed","Web_of_Science_no_claim","Snowball","Wallach_AU_mammal_no_claim","Opportunistic","IUCN_references","Doherty_references0_NA","Dickman_AU_mammal","Medina_references0_NA","Woinarski_AU_mammal","Garnett2020_AU_birds","Garnett2010_AU_birds","Alberts_iguanas","Oedin_bats","Welch_bats","Hume_EX_birds","Hess","Search_conducted","Mass_g_final","exclude_species","class"
"55","Bavayia exsuccida","Bavayia exsuccida",123246845,29452,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"56","Bavayia goroensis","Bavayia goroensis",123257719,176201,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"57","Bavayia montana","Bavayia montana",123259816,176215,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing","Bavayia cyclura montana","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"58","Bavayia nubila","Bavayia nubila",123469169,122893197,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"59","Bavayia ornata","Bavayia ornata",123259662,176214,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Bavayia sauvagei ornata","Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"60","Bavayia robusta","Bavayia robusta",123252960,176167,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Near Threatened",3.1,"Stable",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"61","Bavayia sauvagii","Bavayia sauvagii",123256289,176191,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing","Lepidodactylus sauvagii","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"62","Bavayia septuiclavis","Bavayia septuiclavis",123257896,176202,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Near Threatened",3.1,"Unknown",NA,"Predation",NA,1,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"63","Bellatorias obiri","Bellatorias obiri",47155335,47155317,"Australasian","Terrestrial","2017-06-14 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Hortonia obiri","Predation",NA,0,2,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"64","Bettongia anhydra","Bettongia anhydra",71510399,71510353,"Australasian","Terrestrial","2014-03-17 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"0",NA,1,NA,"Cats not mentioned",NA,"1","","","","","","",NA,"2025-03-01T00:00:00Z",1582.3,"included_species","Mammals"
