scientificName,spp_name_corrected,assessmentId,internalTaxonId,realm,systems,assessmentDate,redlistCategory,criteriaVersion,populationTrend,Synonyms_or_previous_lump,Cat_effect,EXCLUDE_cats_not_attributed,Web_of_Science_no_claim,Snowball,Wallach_AU_mammal_no_claim,Opportunistic,IUCN_references,Doherty_references0_NA,Dickman_AU_mammal,Medina_references0_NA,Woinarski_AU_mammal,Garnett2020_AU_birds,Garnett2010_AU_birds,Alberts_iguanas,Oedin_bats,Welch_bats,Hume_EX_birds,Hess,Search_conducted,Mass_g_final,exclude_species,class
Ctenotus serotinus,Ctenotus serotinus,109464606,109464601,Australasian,Terrestrial,2017-06-14 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Ctenotus stuarti,Ctenotus stuarti,109464684,109464681,Australasian,Terrestrial,2017-06-14 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,4,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Cubophis brooksi,Cubophis brooksi,16013070,16013066,Neotropical,Terrestrial,2020-02-06 00:00:00 UTC,Critically Endangered,3.1,Decreasing,"Alsophis brooksi, Cubophis cantherigerus brooksi",Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Cyanoramphus auriceps,Cyanoramphus auriceps,213764778,22685175,Australasian,Terrestrial,2022-05-03 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,1,,,,2,,,,,,,,,,,,2025-06-01T00:00:00Z,45.64,included_species,Birds
Cyanoramphus forbesi,Cyanoramphus forbesi,213712534,22724553,Australasian,Terrestrial,2022-02-07 00:00:00 UTC,Vulnerable,3.1,Stable,NA,Predation,,0,,,,1,1,,1,,,,,,,,,2025-07-01T00:00:00Z,88.5,included_species,Birds
Cyclodomorphus praealtus,Cyclodomorphus praealtus,109465226,109465196,Australasian,Terrestrial,2017-06-13 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Cyclura carinata,Cyclura carinata,3097754,6026,Neotropical,Terrestrial,2019-12-16 00:00:00 UTC,Endangered,3.1,Stable,"Cyclura carinata bartschi, Cyclura carinata carinata",Predation,,0,1,,,3,2,,2,,,,2,,,,,2025-01-01T00:00:00Z,355,included_species,Reptiles
Cyclura collei,Cyclura collei,206739532,6027,Neotropical,Terrestrial,2021-08-25 00:00:00 UTC,Critically Endangered,3.1,Increasing,NA,Predation,,1,,,,1,3,,1,,,,0,,,,,2025-05-01T00:00:00Z,,included_species,Reptiles
Cyclura cornuta,Cyclura cornuta,3099941,6042,Neotropical,Terrestrial,2018-01-10 00:00:00 UTC,Endangered,3.1,Decreasing,"Cyclura cornuta cornuta, Aloponotus cornutus, Iguana cornuta, Lacerta cornuta, Metopoceros cornutus",Predation,,0,,,,0,3,,1,,,,0,,,,,2025-01-01T00:00:00Z,,included_species,
Cyclura cychlura,Cyclura cychlura,12356382,6035,Neotropical,Terrestrial,2004-04-30 00:00:00 UTC,Vulnerable,3.1,Decreasing,"Cyclura baeolopha, Iguana cychlura",Predation,,0,,,,0,2,,1,,,,Not attributed,,,,,2025-01-01T00:00:00Z,,included_species,
Cyclura lewisi,Cyclura lewisi,2994409,44275,Neotropical,Terrestrial,2012-06-10 00:00:00 UTC,Endangered,3.1,Increasing,"Cyclura macleayi lewisi, Cyclura nubila lewisi",Predation,,0,,,,1,2,,1,,,,0,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Cyclura onchiopsis,Cyclura onchiopsis,6955940,173001,Neotropical,Terrestrial,2010-09-23 00:00:00 UTC,Extinct,3.1,,Cyclura cornuta onchiopsis,Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Cyclura pinguis,Cyclura pinguis,3098403,6031,Neotropical,Terrestrial,2019-11-02 00:00:00 UTC,Critically Endangered,3.1,Increasing,"Cyclura mattea, Cyclura portoricensis",Predation,,0,,,1,2,2,,1,,,,0,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Cyclura ricordii,Cyclura ricordii,3098833,6032,Neotropical,Terrestrial,2018-02-13 00:00:00 UTC,Endangered,3.1,Decreasing,"Aloponotus ricordii, Cyclura ricordi, Hypsilophus ricordii, Metopoceros cornutus",Predation,,0,,,,2,1,,,,,,0,,,,,2025-01-01T00:00:00Z,,included_species,
Cyclura stejnegeri,Cyclura stejnegeri,2790768,29605,Neotropical,Terrestrial,2019-12-19 00:00:00 UTC,Critically Endangered,3.1,Increasing,Cyclura cornuta stejnegeri,Predation,,0,,,,1,1,,,,,,1,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Cylindrophis isolepis,Cylindrophis isolepis,42492712,42492703,Australasian,Terrestrial,2019-08-08 00:00:00 UTC,Critically Endangered,3.1,Unknown,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-02-01T00:00:00Z,,included_species,
Cyrtodactylus khelangensis,Cyrtodactylus khelangensis,104718601,104692853,Indomalayan,Terrestrial,2017-05-23 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Cyrtodactylus sadleiri,Cyrtodactylus sadleiri,129322054,102731769,Australasian,Terrestrial,2017-02-20 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Cyrtodactylus soba,Cyrtodactylus soba,123312107,197219,Indomalayan,Terrestrial,2019-09-17 00:00:00 UTC,Vulnerable,3.1,Unknown,Cyrtodactylus srilankensis,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
