key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Amerotyphlops tasymicris (IUCN 2025) core source_claim,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Amerotyphlops tasymicris,1,(Bentz et al. 2011),"",Not relevant,Opinion claim,"",no,2010
Amerotyphlops tasymicris Web of Science_Systematic external review,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,Web of Science_Systematic external review,Amerotyphlops tasymicris,1,(Bentz et al. 2011),"",Not relevant,Opinion claim,"",no,2025
Amytornis ballarae (IUCN 2025) core source_claim,(Harrington et al. 2017)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Amytornis ballarae,1,(Harrington et al. 2017),"",Not relevant,No claim,"",no,2020
Amytornis dorotheae (Garnett & Baker 2021) core source_claim,(Threatened Species Scientific Committee 2016a)_INCLUDE_NA_Predation not in support_no_no,(Garnett & Baker 2021) core source_claim,Amytornis dorotheae,1,(Threatened Species Scientific Committee 2016a),"",No,Predation not in support without data,no,no,2020
Amytornis dorotheae (IUCN 2025) core source_claim,(Threatened Species Scientific Committee 2016a)_INCLUDE_NA_Predation not in support_no_no,(IUCN 2025) core source_claim,Amytornis dorotheae,1,(Threatened Species Scientific Committee 2016a),"",No,Predation not in support without data,no,no,2021
Amytornis merrotsyi (IUCN 2025) core source_claim,Woinarski et al. 2018_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Amytornis merrotsyi,1,Woinarski et al. 2018,?,Not relevant,Inaccessible,"",no,2020
Anadia bogotensis (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Anadia bogotensis,(IUCN 2025) core source_claim,Anadia bogotensis,1,NOTHING NA Anadia bogotensis,"",Not relevant,No citation given,"",no,2012
Anairetes fernandezianus (IUCN 2025) core source_claim,(Brooke 1987a)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anairetes fernandezianus,2,(Brooke 1987a),0,Not relevant,Inaccessible,"",no,2022
Anairetes fernandezianus (IUCN 2025) core source_claim,(Hahn & Römer 2002)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Anairetes fernandezianus,1,(Hahn & Römer 2002),"",Yes,Predation in support without data,no,no,2022
Anairetes fernandezianus (IUCN 2025) core source_claim,(Shirihai et al. 2015)_EXCLUDE_0_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Anairetes fernandezianus,1,(Shirihai et al. 2015),"",Not relevant,Opinion claim,"",no,2022
