scientificName,value,pub_year,Note
Pterodroma magentae,(Conservation 2001b),2001,
Dasyornis longirostris,(Wildlife 2014),2014,
Atrichornis clamosus,(Wildlife 2014),2014,
Xeromys myoides,(Management 2010),2010,
Coenocorypha pusilla,(Dowding & Murphy 2001),2001,
Coenocorypha pusilla,(Dowding & Murphy 2001),2001,
Haematopus chathamensis,(Dowding & Murphy 2001),2001,
Thinornis novaeseelandiae,(Dowding & Murphy 2001),2001,
Zosterops albogularis,(Dutson 2013),2013,
Puffinus yelkouan,(Bonnaud et al. 2010b),2010,
Puffinus yelkouan,(Bonnaud et al. 2009),2009,
Branta sandvicensis,(Rave et al. 2005),2005,
Peromyscus guardia,(Mellink et al. 2002),2002,
Petroica traversi,(Kennedy 2009),2009,
Amazona vittata,(Engeman et al. 2006),2006,
Chioninia coctei,(Andreone & Gavetti 1998),1998,
Pterodroma phaeopygia,(Cruz-Delgado et al. 2010),2010,
Antrostomus noctitherus,(Vilella 1995),1995,
Pterodroma baraui,(Faulquier et al. 2009),2009,
Onychogalea fraenata,(Fisher et al. 2001),2001,
Myrmecobius fasciatus,(Friend & Thomas 1994),1994,
Myrmecobius fasciatus,(Friend 1990),1990,
Diomedea epomophora,(Taylor 2000),2000,
Eudyptes pachyrhynchus,(Taylor 2000),2000,
Megadyptes antipodes,(Taylor 2000),2000,
Phalacrocorax featherstoni,(Taylor 2000),2000,
Procellaria westlandica,(Taylor 2000),2000,
Pterodroma axillaris,(Taylor 2000),2000,
Pterodroma cervicalis,(Taylor 2000),2000,
Pterodroma magentae,(Taylor 2000),2000,
Sternula nereis,(Taylor 2000),2000,
Nestor notabilis,(Elliott & Kemp 2004),2004,
Hypotaenidia owstoni,(Witteman et al. 1990),1990,
Traversia lyalli,(Galbreath & Brown 2004),2004,
Traversia lyalli,(Galbreath & Brown 2004),2004,
Brachylophus bulabula,(Gibbons 1984),1984,
Brachylophus fasciatus,(Gibbons 1984),1984,
Brachylophus vitiensis,(Gibbons 1984),1984,
Apteryx australis,(Gillies et al. 2003),2003,
Apteryx australis,(Gillies et al. 2003),2003,
Apteryx mantelli,(Gillies et al. 2003),2003,
Notomys fuscus,(Gordon et al. 2015),2015,
Hemiphaga chathamensis,(Grant et al. 1997),1997,
Anas eatoni,(Green 1992),1992,
Anthornis melanocephala,(Greenway 1967),1967,
Turnagra tanagra,(Greenway 1967),1967,
Zoothera terrestris,(Greenway 1967),1967,
Synthliboramphus wumizusume,(Hasegawa et al. 2002),2002,
Megadyptes antipodes,(Ratz & Murphy 1999),1999,
Sephanoides fernandensis,(Hahn & Römer 2002),2002,
Aphrastura masafuerae,(Hahn & Römer 2002),2002,
Aphrastura masafuerae,(Hahn et al. 2004),2004,
Spondylurus monae,(Hedges & Conn 2012),2012,
Gallotia intermedia,(Efraín et al. 2000),2000,
Pterodroma longirostris,(Hodum & Wainstein 2003),2003,
Branta sandvicensis,(Hoshide et al. 1990),1990,
Nesoenas duboisi,(Hume 2011),2011,
Rhynochetos jubatus,(Hunt 1997),1997,
Cyclura carinata,(Iverson 1978),1978,
Hymenolaimus malacorhynchos,(Adams et al. 1997),1997,
Pterodroma phaeopygia,(Cruz & Cruz 1987),1987,
Pterodroma phaeopygia,(Cruz & Cruz 1996),1996,
Leipoa ocellata,(Benshemesh 2007),2007,
Notomys aquilo,(Woinarski 2004),2004,
Notomys fuscus,(Woinarski 2004),2004,
Pseudantechinus mimulus,(Woinarski 2004),2004,
