cited_by_id,from_key,article_id,to_key,edge_type,scientificName,encounter_method,source_year,article_year
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Fregata aquila,(IUCN 2025) core source_claim,(IUCN 2025) core source | Fregata aquila,citation,Fregata aquila,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Gallinula nesiotis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Gallinula nesiotis,citation,Gallinula nesiotis,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Gallirallus lafresnayanus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Gallirallus lafresnayanus,citation,Gallirallus lafresnayanus,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Goniurosaurus kuroiwae,(IUCN 2025) core source_claim,(IUCN 2025) core source | Goniurosaurus kuroiwae,citation,Goniurosaurus kuroiwae,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Gymnomyza aubryana,(IUCN 2025) core source_claim,(IUCN 2025) core source | Gymnomyza aubryana,citation,Gymnomyza aubryana,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Haematopus meadewaldoi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Haematopus meadewaldoi,citation,Haematopus meadewaldoi,core_sources,2014,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Henicophaps foersteri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Henicophaps foersteri,citation,Henicophaps foersteri,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Hypotaenidia dieffenbachii,(IUCN 2025) core source_claim,(IUCN 2025) core source | Hypotaenidia dieffenbachii,citation,Hypotaenidia dieffenbachii,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Hypotaenidia okinawae,(IUCN 2025) core source_claim,(IUCN 2025) core source | Hypotaenidia okinawae,citation,Hypotaenidia okinawae,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Hypotaenidia owstoni,(IUCN 2025) core source_claim,(IUCN 2025) core source | Hypotaenidia owstoni,citation,Hypotaenidia owstoni,core_sources,2014,2018
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Hypotaenidia pacifica,(IUCN 2025) core source_claim,(IUCN 2025) core source | Hypotaenidia pacifica,citation,Hypotaenidia pacifica,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Hypotaenidia poeciloptera,(IUCN 2025) core source_claim,(IUCN 2025) core source | Hypotaenidia poeciloptera,citation,Hypotaenidia poeciloptera,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Icterus northropi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Icterus northropi,citation,Icterus northropi,core_sources,2014,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Kanakysaurus viviparus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Kanakysaurus viviparus,citation,Kanakysaurus viviparus,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Kanakysaurus zebratus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Kanakysaurus zebratus,citation,Kanakysaurus zebratus,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Lacertoides pardalis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Lacertoides pardalis,citation,Lacertoides pardalis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Larus bulleri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Larus bulleri,citation,Larus bulleri,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Larus fuliginosus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Larus fuliginosus,citation,Larus fuliginosus,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Laterallus spilonota,(IUCN 2025) core source_claim,(IUCN 2025) core source | Laterallus spilonota,citation,Laterallus spilonota,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Leptotila wellsi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Leptotila wellsi,citation,Leptotila wellsi,core_sources,2014,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Lioscincus steindachneri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Lioscincus steindachneri,citation,Lioscincus steindachneri,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Lioscincus vivae,(IUCN 2025) core source_claim,(IUCN 2025) core source | Lioscincus vivae,citation,Lioscincus vivae,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Loxops coccineus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Loxops coccineus,citation,Loxops coccineus,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Macrotarsomys ingens,(IUCN 2025) core source_claim,(IUCN 2025) core source | Macrotarsomys ingens,citation,Macrotarsomys ingens,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Marmorosphax kaala,(IUCN 2025) core source_claim,(IUCN 2025) core source | Marmorosphax kaala,citation,Marmorosphax kaala,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Marmorosphax montana,(IUCN 2025) core source_claim,(IUCN 2025) core source | Marmorosphax montana,citation,Marmorosphax montana,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Marmorosphax taom,(IUCN 2025) core source_claim,(IUCN 2025) core source | Marmorosphax taom,citation,Marmorosphax taom,core_sources,2014,2016
(Woinarski et al. 2014) core source_claim,(Woinarski et al. 2014) core source | Mastacomys fuscus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Mastacomys fuscus,citation,Mastacomys fuscus,core_sources,2013,2014
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Megapodius bernsteinii,(IUCN 2025) core source_claim,(IUCN 2025) core source | Megapodius bernsteinii,citation,Megapodius bernsteinii,core_sources,2014,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Megapodius nicobariensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Megapodius nicobariensis,citation,Megapodius nicobariensis,core_sources,2014,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Melamprosops phaeosoma,(IUCN 2025) core source_claim,(IUCN 2025) core source | Melamprosops phaeosoma,citation,Melamprosops phaeosoma,core_sources,2014,2018
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Mergus australis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Mergus australis,citation,Mergus australis,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Microgoura meeki,(IUCN 2025) core source_claim,(IUCN 2025) core source | Microgoura meeki,citation,Microgoura meeki,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Mimus melanotis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Mimus melanotis,citation,Mimus melanotis,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Mimus trifasciatus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Mimus trifasciatus,citation,Mimus trifasciatus,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Mundia elpenor,(IUCN 2025) core source_EXCLUDE_NA_No claim,(IUCN 2025) core source | Mundia elpenor,citation,Mundia elpenor,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Mysateles prehensilis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Mysateles prehensilis,citation,Mysateles prehensilis,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Neotamias palmeri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Neotamias palmeri,citation,Neotamias palmeri,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Nesillas aldabrana,(IUCN 2025) core source_claim,(IUCN 2025) core source | Nesillas aldabrana,citation,Nesillas aldabrana,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Nesoenas duboisi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Nesoenas duboisi,citation,Nesoenas duboisi,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Nesoenas mayeri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Nesoenas mayeri,citation,Nesoenas mayeri,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Nesofregetta fuliginosa,(IUCN 2025) core source_claim,(IUCN 2025) core source | Nesofregetta fuliginosa,citation,Nesofregetta fuliginosa,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Nestor notabilis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Nestor notabilis,citation,Nestor notabilis,core_sources,2014,2016
